DATE,Length,Frequency
1/6/2021,47.5,0
1/6/2021,52.5,0
1/6/2021,57.5,0
1/6/2021,62.5,3
1/6/2021,67.5,3
1/6/2021,72.5,9
1/6/2021,77.5,7
1/6/2021,82.5,4
1/6/2021,87.5,5
1/6/2021,92.5,0
1/6/2021,97.5,0
1/6/2021,102.5,0
1/7/2021,47.5,0
1/7/2021,52.5,0
1/7/2021,57.5,0
1/7/2021,62.5,2
1/7/2021,67.5,1
1/7/2021,72.5,2
1/7/2021,77.5,4
1/7/2021,82.5,6
1/7/2021,87.5,3
1/7/2021,92.5,4
1/7/2021,97.5,0
1/7/2021,102.5,0
1/8/2021,47.5,0
1/8/2021,52.5,0
1/8/2021,57.5,0
1/8/2021,62.5,0
1/8/2021,67.5,0
1/8/2021,72.5,0
1/8/2021,77.5,3
1/8/2021,82.5,4
1/8/2021,87.5,7
1/8/2021,92.5,8
1/8/2021,97.5,0
1/8/2021,102.5,0
1/9/2021,47.5,0
1/9/2021,52.5,0
1/9/2021,57.5,0
1/9/2021,62.5,0
1/9/2021,67.5,0
1/9/2021,72.5,0
1/9/2021,77.5,0
1/9/2021,82.5,3
1/9/2021,87.5,4
1/9/2021,92.5,7
1/9/2021,97.5,0
1/9/2021,102.5,0
1/10/2021,47.5,2
1/10/2021,52.5,1
1/10/2021,57.5,1
1/10/2021,62.5,2
1/10/2021,67.5,0
1/10/2021,72.5,3
1/10/2021,77.5,6
1/10/2021,82.5,0
1/10/2021,87.5,0
1/10/2021,92.5,0
1/10/2021,97.5,0
1/10/2021,102.5,0
1/11/2021,47.5,0
1/11/2021,52.5,1
1/11/2021,57.5,1
1/11/2021,62.5,3
1/11/2021,67.5,2
1/11/2021,72.5,3
1/11/2021,77.5,2
1/11/2021,82.5,3
1/11/2021,87.5,8
1/11/2021,92.5,0
1/11/2021,97.5,0
1/11/2021,102.5,0
1/12/2021,47.5,0
1/12/2021,52.5,0
1/12/2021,57.5,2
1/12/2021,62.5,2
1/12/2021,67.5,3
1/12/2021,72.5,4
1/12/2021,77.5,2
1/12/2021,82.5,3
1/12/2021,87.5,8
1/12/2021,92.5,0
1/12/2021,97.5,0
1/12/2021,102.5,0
1/1/2022,47.5,0
1/1/2022,52.5,0
1/1/2022,57.5,2
1/1/2022,62.5,1
1/1/2022,67.5,11
1/1/2022,72.5,17
1/1/2022,77.5,14
1/1/2022,82.5,5
1/1/2022,87.5,3
1/1/2022,92.5,0
1/1/2022,97.5,0
1/1/2022,102.5,4
1/2/2022,47.5,0
1/2/2022,52.5,0
1/2/2022,57.5,0
1/2/2022,62.5,0
1/2/2022,67.5,3
1/2/2022,72.5,9
1/2/2022,77.5,4
1/2/2022,82.5,6
1/2/2022,87.5,4
1/2/2022,92.5,6
1/2/2022,97.5,0
1/2/2022,102.5,0
1/4/2022,47.5,0
1/4/2022,52.5,0
1/4/2022,57.5,0
1/4/2022,62.5,0
1/4/2022,67.5,0
1/4/2022,72.5,2
1/4/2022,77.5,1
1/4/2022,82.5,5
1/4/2022,87.5,1
1/4/2022,92.5,0
1/4/2022,97.5,0
1/4/2022,102.5,0
1/5/2022,47.5,0
1/5/2022,52.5,0
1/5/2022,57.5,0
1/5/2022,62.5,3
1/5/2022,67.5,2
1/5/2022,72.5,1
1/5/2022,77.5,3
1/5/2022,82.5,0
1/5/2022,87.5,0
1/5/2022,92.5,0
1/5/2022,97.5,0
1/5/2022,102.5,0
1/6/2022,47.5,0
1/6/2022,52.5,0
1/6/2022,57.5,0
1/6/2022,62.5,0
1/6/2022,67.5,3
1/6/2022,72.5,8
1/6/2022,77.5,8
1/6/2022,82.5,0
1/6/2022,87.5,4
1/6/2022,92.5,12
1/6/2022,97.5,0
1/6/2022,102.5,0
1/7/2022,47.5,0
1/7/2022,52.5,0
1/7/2022,57.5,0
1/7/2022,62.5,0
1/7/2022,67.5,0
1/7/2022,72.5,1
1/7/2022,77.5,3
1/7/2022,82.5,7
1/7/2022,87.5,3
1/7/2022,92.5,0
1/7/2022,97.5,0
1/7/2022,102.5,0
1/8/2022,47.5,0
1/8/2022,52.5,0
1/8/2022,57.5,0
1/8/2022,62.5,0
1/8/2022,67.5,0
1/8/2022,72.5,0
1/8/2022,77.5,0
1/8/2022,82.5,5
1/8/2022,87.5,2
1/8/2022,92.5,0
1/8/2022,97.5,0
1/8/2022,102.5,0
1/9/2022,47.5,0
1/9/2022,52.5,0
1/9/2022,57.5,0
1/9/2022,62.5,0
1/9/2022,67.5,0
1/9/2022,72.5,0
1/9/2022,77.5,0
1/9/2022,82.5,5
1/9/2022,87.5,4
1/9/2022,92.5,0
1/9/2022,97.5,0
1/9/2022,102.5,0
1/10/2022,47.5,0
1/10/2022,52.5,0
1/10/2022,57.5,0
1/10/2022,62.5,3
1/10/2022,67.5,2
1/10/2022,72.5,2
1/10/2022,77.5,3
1/10/2022,82.5,10
1/10/2022,87.5,3
1/10/2022,92.5,0
1/10/2022,97.5,0
1/10/2022,102.5,0
1/11/2022,47.5,0
1/11/2022,52.5,0
1/11/2022,57.5,0
1/11/2022,62.5,0
1/11/2022,67.5,0
1/11/2022,72.5,5
1/11/2022,77.5,14
1/11/2022,82.5,7
1/11/2022,87.5,0
1/11/2022,92.5,0
1/11/2022,97.5,0
1/11/2022,102.5,0
1/12/2022,47.5,0
1/12/2022,52.5,0
1/12/2022,57.5,0
1/12/2022,62.5,2
1/12/2022,67.5,2
1/12/2022,72.5,2
1/12/2022,77.5,0
1/12/2022,82.5,2
1/12/2022,87.5,12
1/12/2022,92.5,0
1/12/2022,97.5,0
1/12/2022,102.5,0
1/1/2023,47.5,0
1/1/2023,52.5,0
1/1/2023,57.5,3
1/1/2023,62.5,2
1/1/2023,67.5,15
1/1/2023,72.5,13
1/1/2023,77.5,9
1/1/2023,82.5,1
1/1/2023,87.5,3
1/1/2023,92.5,0
1/1/2023,97.5,0
1/1/2023,102.5,4
1/3/2023,47.5,0
1/3/2023,52.5,0
1/3/2023,57.5,0
1/3/2023,62.5,0
1/3/2023,67.5,8
1/3/2023,72.5,9
1/3/2023,77.5,5
1/3/2023,82.5,5
1/3/2023,87.5,5
1/3/2023,92.5,0
1/3/2023,97.5,0
1/3/2023,102.5,0
1/4/2023,47.5,0
1/4/2023,52.5,0
1/4/2023,57.5,0
1/4/2023,62.5,0
1/4/2023,67.5,2
1/4/2023,72.5,3
1/4/2023,77.5,7
1/4/2023,82.5,7
1/4/2023,87.5,6
1/4/2023,92.5,12
1/4/2023,97.5,0
1/4/2023,102.5,0
1/5/2023,47.5,0
1/5/2023,52.5,0
1/5/2023,57.5,0
1/5/2023,62.5,4
1/5/2023,67.5,2
1/5/2023,72.5,3
1/5/2023,77.5,3
1/5/2023,82.5,0
1/5/2023,87.5,0
1/5/2023,92.5,0
1/5/2023,97.5,0
1/5/2023,102.5,0
1/6/2023,47.5,0
1/6/2023,52.5,0
1/6/2023,57.5,0
1/6/2023,62.5,0
1/6/2023,67.5,0
1/6/2023,72.5,0
1/6/2023,77.5,8
1/6/2023,82.5,4
1/6/2023,87.5,8
1/6/2023,92.5,0
1/6/2023,97.5,0
1/6/2023,102.5,0
