Date,Length,Frequency
01.06.2021,47.5,0
01.06.2021,52.5,0
01.06.2021,57.5,0
01.06.2021,62.5,3
01.06.2021,67.5,3
01.06.2021,72.5,9
01.06.2021,77.5,7
01.06.2021,82.5,4
01.06.2021,87.5,5
01.06.2021,92.5,0
01.06.2021,97.5,0
01.06.2021,102.5,0
01.07.2021,47.5,0
01.07.2021,52.5,0
01.07.2021,57.5,0
01.07.2021,62.5,2
01.07.2021,67.5,1
01.07.2021,72.5,2
01.07.2021,77.5,4
01.07.2021,82.5,6
01.07.2021,87.5,3
01.07.2021,92.5,4
01.07.2021,97.5,0
01.07.2021,102.5,0
01.08.2021,47.5,0
01.08.2021,52.5,0
01.08.2021,57.5,0
01.08.2021,62.5,0
01.08.2021,67.5,0
01.08.2021,72.5,0
01.08.2021,77.5,3
01.08.2021,82.5,4
01.08.2021,87.5,7
01.08.2021,92.5,8
01.08.2021,97.5,0
01.08.2021,102.5,0
01.09.2021,47.5,0
01.09.2021,52.5,0
01.09.2021,57.5,0
01.09.2021,62.5,0
01.09.2021,67.5,0
01.09.2021,72.5,0
01.09.2021,77.5,0
01.09.2021,82.5,3
01.09.2021,87.5,4
01.09.2021,92.5,7
01.09.2021,97.5,0
01.09.2021,102.5,0
01.10.2021,47.5,2
01.10.2021,52.5,1
01.10.2021,57.5,1
01.10.2021,62.5,2
01.10.2021,67.5,0
01.10.2021,72.5,3
01.10.2021,77.5,6
01.10.2021,82.5,0
01.10.2021,87.5,0
01.10.2021,92.5,0
01.10.2021,97.5,0
01.10.2021,102.5,0
01.11.2021,47.5,0
01.11.2021,52.5,1
01.11.2021,57.5,1
01.11.2021,62.5,3
01.11.2021,67.5,2
01.11.2021,72.5,3
01.11.2021,77.5,2
01.11.2021,82.5,3
01.11.2021,87.5,8
01.11.2021,92.5,0
01.11.2021,97.5,0
01.11.2021,102.5,0
01.12.2021,47.5,0
01.12.2021,52.5,0
01.12.2021,57.5,2
01.12.2021,62.5,2
01.12.2021,67.5,3
01.12.2021,72.5,4
01.12.2021,77.5,2
01.12.2021,82.5,3
01.12.2021,87.5,8
01.12.2021,92.5,0
01.12.2021,97.5,0
01.12.2021,102.5,0
01.01.2022,47.5,0
01.01.2022,52.5,0
01.01.2022,57.5,2
01.01.2022,62.5,1
01.01.2022,67.5,11
01.01.2022,72.5,17
01.01.2022,77.5,14
01.01.2022,82.5,5
01.01.2022,87.5,3
01.01.2022,92.5,0
01.01.2022,97.5,0
01.01.2022,102.5,4
01.02.2022,47.5,0
01.02.2022,52.5,0
01.02.2022,57.5,0
01.02.2022,62.5,0
01.02.2022,67.5,3
01.02.2022,72.5,9
01.02.2022,77.5,4
01.02.2022,82.5,6
01.02.2022,87.5,4
01.02.2022,92.5,6
01.02.2022,97.5,0
01.02.2022,102.5,0
01.04.2022,47.5,0
01.04.2022,52.5,0
01.04.2022,57.5,0
01.04.2022,62.5,0
01.04.2022,67.5,0
01.04.2022,72.5,2
01.04.2022,77.5,1
01.04.2022,82.5,5
01.04.2022,87.5,1
01.04.2022,92.5,0
01.04.2022,97.5,0
01.04.2022,102.5,0
01.05.2022,47.5,0
01.05.2022,52.5,0
01.05.2022,57.5,0
01.05.2022,62.5,3
01.05.2022,67.5,2
01.05.2022,72.5,1
01.05.2022,77.5,3
01.05.2022,82.5,0
01.05.2022,87.5,0
01.05.2022,92.5,0
01.05.2022,97.5,0
01.05.2022,102.5,0
01.06.2022,47.5,0
01.06.2022,52.5,0
01.06.2022,57.5,0
01.06.2022,62.5,0
01.06.2022,67.5,3
01.06.2022,72.5,8
01.06.2022,77.5,8
01.06.2022,82.5,0
01.06.2022,87.5,4
01.06.2022,92.5,12
01.06.2022,97.5,0
01.06.2022,102.5,0
01.07.2022,47.5,0
01.07.2022,52.5,0
01.07.2022,57.5,0
01.07.2022,62.5,0
01.07.2022,67.5,0
01.07.2022,72.5,1
01.07.2022,77.5,3
01.07.2022,82.5,7
01.07.2022,87.5,3
01.07.2022,92.5,0
01.07.2022,97.5,0
01.07.2022,102.5,0
01.08.2022,47.5,0
01.08.2022,52.5,0
01.08.2022,57.5,0
01.08.2022,62.5,0
01.08.2022,67.5,0
01.08.2022,72.5,0
01.08.2022,77.5,0
01.08.2022,82.5,5
01.08.2022,87.5,2
01.08.2022,92.5,0
01.08.2022,97.5,0
01.08.2022,102.5,0
01.09.2022,47.5,0
01.09.2022,52.5,0
01.09.2022,57.5,0
01.09.2022,62.5,0
01.09.2022,67.5,0
01.09.2022,72.5,0
01.09.2022,77.5,0
01.09.2022,82.5,5
01.09.2022,87.5,4
01.09.2022,92.5,0
01.09.2022,97.5,0
01.09.2022,102.5,0
01.10.2022,47.5,0
01.10.2022,52.5,0
01.10.2022,57.5,0
01.10.2022,62.5,3
01.10.2022,67.5,2
01.10.2022,72.5,2
01.10.2022,77.5,3
01.10.2022,82.5,10
01.10.2022,87.5,3
01.10.2022,92.5,0
01.10.2022,97.5,0
01.10.2022,102.5,0
01.11.2022,47.5,0
01.11.2022,52.5,0
01.11.2022,57.5,0
01.11.2022,62.5,0
01.11.2022,67.5,0
01.11.2022,72.5,5
01.11.2022,77.5,14
01.11.2022,82.5,7
01.11.2022,87.5,0
01.11.2022,92.5,0
01.11.2022,97.5,0
01.11.2022,102.5,0
01.12.2022,47.5,0
01.12.2022,52.5,0
01.12.2022,57.5,0
01.12.2022,62.5,2
01.12.2022,67.5,2
01.12.2022,72.5,2
01.12.2022,77.5,0
01.12.2022,82.5,2
01.12.2022,87.5,12
01.12.2022,92.5,0
01.12.2022,97.5,0
01.12.2022,102.5,0
01.01.2023,47.5,0
01.01.2023,52.5,0
01.01.2023,57.5,3
01.01.2023,62.5,2
01.01.2023,67.5,15
01.01.2023,72.5,13
01.01.2023,77.5,9
01.01.2023,82.5,1
01.01.2023,87.5,3
01.01.2023,92.5,0
01.01.2023,97.5,0
01.01.2023,102.5,4
01.03.2023,47.5,0
01.03.2023,52.5,0
01.03.2023,57.5,0
01.03.2023,62.5,0
01.03.2023,67.5,8
01.03.2023,72.5,9
01.03.2023,77.5,5
01.03.2023,82.5,5
01.03.2023,87.5,5
01.03.2023,92.5,0
01.03.2023,97.5,0
01.03.2023,102.5,0
01.04.2023,47.5,0
01.04.2023,52.5,0
01.04.2023,57.5,0
01.04.2023,62.5,0
01.04.2023,67.5,2
01.04.2023,72.5,3
01.04.2023,77.5,7
01.04.2023,82.5,7
01.04.2023,87.5,6
01.04.2023,92.5,12
01.04.2023,97.5,0
01.04.2023,102.5,0
01.05.2023,47.5,0
01.05.2023,52.5,0
01.05.2023,57.5,0
01.05.2023,62.5,4
01.05.2023,67.5,2
01.05.2023,72.5,3
01.05.2023,77.5,3
01.05.2023,82.5,0
01.05.2023,87.5,0
01.05.2023,92.5,0
01.05.2023,97.5,0
01.05.2023,102.5,0
01.06.2023,47.5,0
01.06.2023,52.5,0
01.06.2023,57.5,0
01.06.2023,62.5,0
01.06.2023,67.5,0
01.06.2023,72.5,0
01.06.2023,77.5,8
01.06.2023,82.5,4
01.06.2023,87.5,8
01.06.2023,92.5,0
01.06.2023,97.5,0
01.06.2023,102.5,0
